Frontier-arbiter rule simulation — 1489 stored turns from 4 duels (dropped {'lt3_frontier': 70, 'no_greedy': 18, 'no_echo': 23}); frontier = engy glm-5.2 (3 samples @T0.8 + greedy); teacher echoes only, tau=0.03
new-attack echo subset: 203 turns, 8130 Engy teacher echoes (qwen3.8-27b, canonical rendering), $2.07 (7426 echoes / $1.89 recorded by completed runs; the rest priced at that rate) (honest king re-echoed on the same turns so attack comparisons are same-source)

DEFINITIONS
  gate <method>/<F>: F disagrees when its action differs from ALL k teacher refs — exact (norm_action), jacθ (best token-Jaccard < θ),
    surθ (lpC(y_F|∅) < min_i lpC(y_C^i|∅) − θ per byte); F = G (one greedy sample) or S (3 samples @T0.8, strict majority must disagree).
  agree branch = live min(R,G), band_c 4.0 (live_c2 = the stored era's 2.0); disagree branch = the alt:
    act:<sim>:<s> = [mean_j sim(y_A,y_F^j) − mean_ij sim(y_C^i,y_F^j)] × s × sd(live turn scores of the dialect); sim jaccard or exact (0/1)
    RF = centered tempered LME_j[lpC(y_F^j|z_A) − lpC(y_F^j|∅)]; V = mean_j f_j − mean_i a_i; AF = LME_j[lpC(y_A|z_F^j) − lpC(y_A|∅)]
    minRFG = min(RF, G); minVG = min(V, G). Echo-space alts always use the 3 sampled F refs; act uses the gate's F set.
  |sd = every leg standardised per dialect by (mu, sd) of the TEACHER's own leave-one-out values (R, RF, V, act; AF anchored on king+challenger,
    no teacher_own echo exists); thought leg = 2 − |m − mean(t_i)|/sigma_t with sigma_t = pooled within-turn sd of t_i per dialect.
    No cross echoes lpC(y_C^i|z_C^j), i≠j, exist in this data, so the anchor is the teacher's ref-0 thought on refs 1..2 (one LOO value per turn).
  wB_<mode>/<F> = variant B: teacher refs weighted by mean Jaccard to the F set (softmax at T or hard 1[sim≥0.5]); R = weighted centered LME, G from weighted mu/sd.
  HEADROOM (leave-one-out: ref 0 and F sample 0 dropped everywhere, so every family is scored on k−1=2 teacher refs and 2 F refs):
    mean turn score per family; z(F−T) = paired mean(F_own − T_own)/SE; z(T−K) likewise; dis% = disagree-branch rate on the LOO gate.
  NOISE (full refs, live pairing): margin = mean(chal − king); SE = sd/√n; z = margin/SE; bSE/live = bootstrap SE ÷ that of the same-units
    live rule (live_c4 raw, live_sd sd); |z|/|z0| = |z| ÷ |z of live_c4| (how much of the live separation of these losing challengers survives);
    rho = Spearman of per-turn (chal − king) vs live_c4; dis% = gate rate; varD = share of Σ(d−d̄)² carried by disagree turns.
    minAG = min(act:jaccard:1, G), minAFG = min(AF, G): G (or typ) still bounds the disagree branch.
  ATTACKS (king's thought or action replaced): ≤king% = turns where attack ≤ honest king (ties count); harmless if ≥ 85%. '=' = exact-tie share.
    filler/generic/parrot(sampled y_F^0 pasted): stored swarm echoes, all turns. fparrotG (greedy y_F pasted into the thought), copyF (action := greedy y_F),
    lscmd/catcmd (action := `ls -la` / `cat <first file in prefix>`, bash only): Engy echoes on the subset; copyF/ls/cat on ALL turns for action-space alts.

== GATE RATES (fraction of turns where F disagrees with all teacher refs) ==
set            n    exact/G    exact/S   jac0.5/G   jac0.5/S   jac0.3/S  sur0.02/G  sur0.02/S   jac0.3/G   | yG=any yF  yG~yF  F self  C self  C~F  F all same
ALL         1489      73.6%      73.9%      34.6%      34.7%      21.2%      22.8%      23.2%      21.4%   |      54%   0.71    0.69    0.61  0.51      28%
bash         992      80.5%      81.4%      45.2%      45.9%      30.3%      21.0%      19.8%      30.3%   |      54%   0.66    0.63    0.53  0.41      24%
boxed        156       7.1%       5.1%       0.0%       0.0%       0.0%       6.4%       5.8%       0.0%   |      98%   0.98    0.98    0.99  0.98      87%
tool_call    341      83.9%      83.6%      19.6%      18.2%       4.4%      35.5%      41.1%       5.3%   |      36%   0.74    0.70    0.68  0.62      11%
  (yG=any yF: greedy action exactly equals one of the 3 samples; ~: mean token-Jaccard; self = sample 0 vs samples 1..2)

== TEST 1 HEADROOM (leave-one-out; the arbiter's point is F_own > T_own) ==
-- ALL --
rule                            F_own    T_own     king     chal  z(F-T)  F>T%  z(T-K)  z(F-K)  dis%
jac0.5/G|act:jaccard:0.5      -0.00025  0.00044   -0.57     0.69     0.48 +0.570   45%  0.01
jac0.5/G|act:jaccard:1        -0.00018  0.00045   -0.41     0.77     0.35 +0.552   45%  0.04
jac0.5/G|act:jaccard:2        -0.00005  0.00048   -0.11     0.79     0.09 +0.529   45%  0.15
jac0.5/G|act:exact:1          -0.00027  0.00044   -0.61     0.69     0.52 +0.651   45%  0.02
jac0.5/G|minAG                -0.00051  0.00050   -1.01     0.86     0.85 +0.680   45%  0.25
jac0.5/G|RF                   -0.00060  0.00064   -0.94     1.10     0.79 +0.529   45%  0.54
jac0.5/G|V                    +0.00011  0.00145   +0.07     2.49     0.06 +0.441   45%  0.91
jac0.5/G|AF                   +0.00098  0.00119   +0.83     2.01     0.69 +0.444   45%  0.86
jac0.5/G|minRFG               -0.00065  0.00058   -1.11     1.04     0.93 +0.661   45%  0.44
jac0.5/G|minVG                +0.00017  0.00129   +0.13     2.20     0.11 +0.530   45%  0.89
jac0.5/G|minAFG               +0.00068  0.00104   +0.65     1.76     0.54 +0.532   45%  0.82
jac0.5/S|act:jaccard:0.5      -0.00027  0.00042   -0.65     0.72     0.54 +0.524   46%  0.01
jac0.5/S|act:jaccard:1        -0.00020  0.00043   -0.47     0.70     0.40 +0.504   46%  0.04
jac0.5/S|act:jaccard:2        -0.00006  0.00045   -0.14     0.76     0.12 +0.478   46%  0.14
jac0.5/S|act:exact:1          -0.00027  0.00042   -0.64     0.74     0.54 +0.622   46%  0.03
jac0.5/S|minAG                -0.00046  0.00050   -0.92     0.82     0.77 +0.652   46%  0.31
jac0.5/S|RF                   -0.00055  0.00064   -0.87     1.11     0.73 +0.496   46%  0.57
jac0.5/S|V                    -0.00027  0.00146   -0.19     2.48     0.16 +0.423   46%  0.92
jac0.5/S|AF                   -0.00000  0.00122   -0.00     2.09     0.00 +0.403   46%  0.88
jac0.5/S|minRFG               -0.00071  0.00060   -1.19     1.06     1.00 +0.656   46%  0.51
jac0.5/S|minVG                -0.00031  0.00130   -0.24     2.16     0.20 +0.498   46%  0.90
jac0.5/S|minAFG               -0.00027  0.00108   -0.25     1.74     0.21 +0.495   46%  0.85
jac0.3/S|act:jaccard:0.5      -0.00041  0.00048   -0.85     0.79     0.71 +0.713   30%  0.01
jac0.3/S|act:jaccard:1        -0.00034  0.00048   -0.70     0.80     0.59 +0.694   30%  0.02
jac0.3/S|act:jaccard:2        -0.00021  0.00050   -0.41     0.87     0.35 +0.671   30%  0.08
jac0.3/S|act:exact:1          -0.00042  0.00048   -0.87     0.83     0.73 +0.782   30%  0.01
jac0.3/S|minAG                -0.00040  0.00053   -0.75     0.90     0.63 +0.792   30%  0.20
jac0.3/S|RF                   -0.00078  0.00064   -1.22     1.08     1.02 +0.693   30%  0.43
jac0.3/S|V                    +0.00038  0.00138   +0.28     2.33     0.23 +0.585   30%  0.88
jac0.3/S|AF                   +0.00012  0.00110   +0.11     1.76     0.09 +0.589   30%  0.81
jac0.3/S|minRFG               -0.00071  0.00061   -1.18     1.06     0.99 +0.792   30%  0.38
jac0.3/S|minVG                +0.00047  0.00122   +0.39     2.07     0.32 +0.637   30%  0.85
jac0.3/S|minAFG               +0.00001  0.00098   +0.01     1.65     0.01 +0.646   30%  0.76
sur0.02/G|act:jaccard:0.5     -0.00061  0.00055   -1.11     0.93     0.93 +0.852   21%  0.00
sur0.02/G|act:jaccard:1       -0.00063  0.00056   -1.13     0.97     0.94 +0.836   21%  0.01
sur0.02/G|act:jaccard:2       -0.00065  0.00057   -1.15     0.93     0.97 +0.817   21%  0.05
sur0.02/G|act:exact:1         -0.00060  0.00055   -1.08     0.94     0.91 +0.900   21%  0.00
sur0.02/G|minAG               -0.00066  0.00058   -1.15     1.00     0.96 +0.890   21%  0.08
sur0.02/G|RF                  -0.00098  0.00063   -1.56     1.14     1.30 +0.843   21%  0.24
sur0.02/G|V                   -0.00004  0.00098   -0.04     1.59     0.03 +0.747   21%  0.68
sur0.02/G|AF                  -0.00168  0.00087   -1.92     1.35     1.61 +0.751   21%  0.60
sur0.02/G|minRFG              -0.00091  0.00063   -1.43     1.06     1.20 +0.892   21%  0.24
sur0.02/G|minVG               -0.00011  0.00094   -0.12     1.65     0.10 +0.775   21%  0.66
sur0.02/G|minAFG              -0.00170  0.00084   -2.01     1.41     1.69 +0.800   21%  0.57
sur0.02/S|act:jaccard:0.5     -0.00080  0.00056   -1.42     0.99     1.19 +0.855   20%  0.00
sur0.02/S|act:jaccard:1       -0.00079  0.00057   -1.40     0.90     1.17 +0.841   20%  0.01
sur0.02/S|act:jaccard:2       -0.00077  0.00057   -1.35     0.87     1.13 +0.822   20%  0.03
sur0.02/S|act:exact:1         -0.00081  0.00056   -1.44     0.96     1.21 +0.897   20%  0.00
sur0.02/S|minAG               -0.00080  0.00058   -1.39     1.02     1.16 +0.888   20%  0.04
sur0.02/S|RF                  -0.00089  0.00064   -1.39     1.14     1.16 +0.845   20%  0.22
sur0.02/S|V                   -0.00074  0.00103   -0.72     1.78     0.60 +0.744   20%  0.70
sur0.02/S|AF                  -0.00189  0.00093   -2.04     1.64     1.71 +0.747   20%  0.63
sur0.02/S|minRFG              -0.00085  0.00063   -1.34     1.09     1.12 +0.893   20%  0.21
sur0.02/S|minVG               -0.00069  0.00099   -0.69     1.63     0.58 +0.772   20%  0.68
sur0.02/S|minAFG              -0.00184  0.00087   -2.11     1.43     1.77 +0.795   20%  0.58
exact/S|act:jaccard:1|sd      +0.01840  0.02448   +0.75     1.61     0.63 +0.055   81%  0.91
exact/S|minAG|sd              -0.01140  0.02305   -0.49     1.59     0.41 +0.175   81%  0.89
exact/S|V|sd                  +0.00891  0.01741   +0.51     1.19     0.43 +0.123   81%  0.81
exact/S|minRFG|sd             -0.00351  0.01458   -0.24     0.97     0.20 +0.269   81%  0.73
exact/S|minVG|sd              -0.00415  0.01982   -0.21     1.32     0.18 +0.237   81%  0.86
jac0.5/G|act:jaccard:1|sd     +0.02055  0.01920   +1.07     1.26     0.90 +0.334   45%  0.64
jac0.5/G|minAG|sd             +0.00937  0.01724   +0.54     1.21     0.46 +0.390   45%  0.56
jac0.5/G|V|sd                 +0.00277  0.01849   +0.15     1.20     0.13 +0.350   45%  0.62
jac0.5/G|minRFG|sd            -0.00626  0.01435   -0.44     0.96     0.37 +0.430   45%  0.37
jac0.5/G|minVG|sd             -0.00121  0.01898   -0.06     1.28     0.05 +0.429   45%  0.64
sur0.02/S|act:jaccard:1|sd    -0.00116  0.01777   -0.07     1.20     0.05 +0.556   20%  0.28
sur0.02/S|minAG|sd            -0.01226  0.01735   -0.71     1.19     0.59 +0.565   20%  0.25
sur0.02/S|V|sd                -0.00357  0.01760   -0.20     1.20     0.17 +0.563   20%  0.27
sur0.02/S|minRFG|sd           +0.00001  0.01640   +0.00     1.10     0.00 +0.627   20%  0.16
sur0.02/S|minVG|sd            -0.00987  0.01772   -0.56     1.16     0.47 +0.575   20%  0.28
wB_soft0.1/G                  -0.00066  0.00055   -1.20     0.90     1.01 +0.834    0%  0.00  collapse 17%
wB_soft0.3/G                  -0.00084  0.00066   -1.27     1.05     1.07 +0.933    0%  0.00  collapse 3%
wB_hard0.5/G                  -0.00086  0.00065   -1.33     1.07     1.11 +0.739    0%  0.00  collapse 17%
wB_soft0.1/S                  -0.00056  0.00054   -1.04     0.89     0.87 +0.847    0%  0.00  collapse 12%
wB_soft0.3/S                  -0.00075  0.00064   -1.16     1.13     0.97 +0.943    0%  0.00  collapse 2%
wB_hard0.5/S                  -0.00123  0.00062   -2.00     1.05     1.68 +0.757    0%  0.00  collapse 15%

-- boxed --
rule                            margin       SE       z bSE/live |z|/|z0|    rho  dis%  varD
live_c2                       -0.00136  0.00150   -0.91     1.46     1.98 +0.757    0%  0.00
live_c4                       -0.00045  0.00099   -0.46     0.93     1.00 +1.000    0%  0.00
live_sd                       -0.09998  0.07896   -1.27     0.97     2.76 +0.604    0%  0.00
exact/G|act:jaccard:0.5       -0.00035  0.00099   -0.36     0.90     0.78 +0.966    7%  0.00
exact/G|act:jaccard:1         -0.00036  0.00099   -0.37     0.87     0.80 +0.962    7%  0.00
exact/G|act:jaccard:2         -0.00039  0.00099   -0.40     0.98     0.86 +0.960    7%  0.00
exact/G|act:exact:1           -0.00022  0.00099   -0.22     0.89     0.48 +0.939    7%  0.01
exact/G|minAG                 -0.00047  0.00099   -0.48     0.97     1.04 +0.988    7%  0.01
exact/G|RF                    +0.00156  0.00193   +0.81     1.82     1.76 +0.933    7%  0.73
exact/G|V                     +0.00160  0.00383   +0.42     3.57     0.91 +0.857    7%  0.93
exact/G|AF                    +0.00539  0.00608   +0.89     5.71     1.93 +0.877    7%  0.97
exact/G|minRFG                -0.00050  0.00100   -0.50     0.96     1.10 +0.955    7%  0.02
exact/G|minVG                 -0.00153  0.00258   -0.59     2.52     1.29 +0.873    7%  0.85
exact/G|minAFG                -0.00140  0.00127   -1.10     1.27     2.40 +0.928    7%  0.40
exact/S|act:jaccard:0.5       -0.00036  0.00099   -0.36     0.92     0.79 +0.963    5%  0.00
exact/S|act:jaccard:1         -0.00036  0.00099   -0.36     0.96     0.79 +0.961    5%  0.00
exact/S|act:jaccard:2         -0.00035  0.00099   -0.36     0.97     0.78 +0.961    5%  0.00
exact/S|act:exact:1           -0.00030  0.00099   -0.30     0.95     0.66 +0.939    5%  0.00
exact/S|minAG                 -0.00046  0.00099   -0.46     0.95     1.01 +0.987    5%  0.01
exact/S|RF                    +0.00143  0.00194   +0.74     1.83     1.61 +0.956    5%  0.74
exact/S|V                     +0.00175  0.00383   +0.46     3.61     0.99 +0.870    5%  0.93
exact/S|AF                    +0.00133  0.00240   +0.55     2.31     1.21 +0.942    5%  0.83
exact/S|minRFG                -0.00061  0.00100   -0.60     0.97     1.32 +0.965    5%  0.04
exact/S|minVG                 -0.00133  0.00258   -0.51     2.41     1.12 +0.868    5%  0.85
exact/S|minAFG                -0.00044  0.00100   -0.44     0.92     0.97 +0.942    5%  0.03
jac0.5/G|act:jaccard:0.5      -0.00045  0.00099   -0.46     0.96     1.00 +1.000    0%  0.00
jac0.5/G|act:jaccard:1        -0.00045  0.00099   -0.46     0.95     1.00 +1.000    0%  0.00
jac0.5/G|act:jaccard:2        -0.00045  0.00099   -0.46     0.98     1.00 +1.000    0%  0.00
jac0.5/G|act:exact:1          -0.00045  0.00099   -0.46     0.95     1.00 +1.000    0%  0.00
jac0.5/G|minAG                -0.00045  0.00099   -0.46     0.91     1.00 +1.000    0%  0.00
jac0.5/G|RF                   -0.00045  0.00099   -0.46     0.96     1.00 +1.000    0%  0.00
jac0.5/G|V                    -0.00045  0.00099   -0.46     0.96     1.00 +1.000    0%  0.00
jac0.5/G|AF                   -0.00045  0.00099   -0.46     0.91     1.00 +1.000    0%  0.00
jac0.5/G|minRFG               -0.00045  0.00099   -0.46     0.94     1.00 +1.000    0%  0.00
jac0.5/G|minVG                -0.00045  0.00099   -0.46     0.91     1.00 +1.000    0%  0.00
jac0.5/G|minAFG               -0.00045  0.00099   -0.46     0.91     1.00 +1.000    0%  0.00
jac0.5/S|act:jaccard:0.5      -0.00045  0.00099   -0.46     0.91     1.00 +1.000    0%  0.00
jac0.5/S|act:jaccard:1        -0.00045  0.00099   -0.46     0.95     1.00 +1.000    0%  0.00
jac0.5/S|act:jaccard:2        -0.00045  0.00099   -0.46     0.94     1.00 +1.000    0%  0.00
jac0.5/S|act:exact:1          -0.00045  0.00099   -0.46     0.92     1.00 +1.000    0%  0.00
jac0.5/S|minAG                -0.00045  0.00099   -0.46     0.98     1.00 +1.000    0%  0.00
jac0.5/S|RF                   -0.00045  0.00099   -0.46     0.96     1.00 +1.000    0%  0.00
jac0.5/S|V                    -0.00045  0.00099   -0.46     0.96     1.00 +1.000    0%  0.00
jac0.5/S|AF                   -0.00045  0.00099   -0.46     0.93     1.00 +1.000    0%  0.00
jac0.5/S|minRFG               -0.00045  0.00099   -0.46     0.94     1.00 +1.000    0%  0.00
jac0.5/S|minVG                -0.00045  0.00099   -0.46     0.99     1.00 +1.000    0%  0.00
jac0.5/S|minAFG               -0.00045  0.00099   -0.46     1.01     1.00 +1.000    0%  0.00
jac0.3/S|act:jaccard:0.5      -0.00045  0.00099   -0.46     0.94     1.00 +1.000    0%  0.00
jac0.3/S|act:jaccard:1        -0.00045  0.00099   -0.46     1.00     1.00 +1.000    0%  0.00
jac0.3/S|act:jaccard:2        -0.00045  0.00099   -0.46     0.97     1.00 +1.000    0%  0.00
jac0.3/S|act:exact:1          -0.00045  0.00099   -0.46     0.93     1.00 +1.000    0%  0.00
jac0.3/S|minAG                -0.00045  0.00099   -0.46     0.96     1.00 +1.000    0%  0.00
jac0.3/S|RF                   -0.00045  0.00099   -0.46     0.87     1.00 +1.000    0%  0.00
jac0.3/S|V                    -0.00045  0.00099   -0.46     0.93     1.00 +1.000    0%  0.00
jac0.3/S|AF                   -0.00045  0.00099   -0.46     0.96     1.00 +1.000    0%  0.00
jac0.3/S|minRFG               -0.00045  0.00099   -0.46     0.95     1.00 +1.000    0%  0.00
jac0.3/S|minVG                -0.00045  0.00099   -0.46     0.97     1.00 +1.000    0%  0.00
jac0.3/S|minAFG               -0.00045  0.00099   -0.46     0.95     1.00 +1.000    0%  0.00
sur0.02/G|act:jaccard:0.5     -0.00049  0.00099   -0.49     0.98     1.07 +0.984    6%  0.00
sur0.02/G|act:jaccard:1       -0.00050  0.00099   -0.51     0.96     1.11 +0.982    6%  0.00
sur0.02/G|act:jaccard:2       -0.00054  0.00099   -0.54     0.90     1.19 +0.980    6%  0.00
sur0.02/G|act:exact:1         -0.00047  0.00099   -0.47     0.91     1.03 +0.982    6%  0.00
sur0.02/G|minAG               -0.00047  0.00099   -0.48     0.94     1.05 +0.987    6%  0.00
sur0.02/G|RF                  +0.00188  0.00188   +1.00     1.76     2.18 +0.939    6%  0.71
sur0.02/G|V                   -0.00202  0.00286   -0.71     2.87     1.54 +0.920    6%  0.88
sur0.02/G|AF                  +0.00843  0.00488   +1.73     4.91     3.77 +0.920    6%  0.94
sur0.02/G|minRFG              -0.00049  0.00100   -0.49     0.96     1.07 +0.954    6%  0.01
sur0.02/G|minVG               -0.00291  0.00234   -1.25     2.08     2.72 +0.936    6%  0.82
sur0.02/G|minAFG              -0.00028  0.00105   -0.27     0.96     0.58 +0.944    6%  0.12
sur0.02/S|act:jaccard:0.5     -0.00049  0.00099   -0.50     0.87     1.09 +0.980    6%  0.00
sur0.02/S|act:jaccard:1       -0.00049  0.00099   -0.50     0.91     1.09 +0.980    6%  0.00
sur0.02/S|act:jaccard:2       -0.00050  0.00099   -0.50     0.97     1.10 +0.980    6%  0.00
sur0.02/S|act:exact:1         -0.00051  0.00099   -0.52     0.99     1.13 +0.978    6%  0.00
sur0.02/S|minAG               -0.00046  0.00099   -0.46     0.93     1.01 +0.985    6%  0.00
sur0.02/S|RF                  +0.00175  0.00188   +0.93     1.75     2.02 +0.959    6%  0.72
sur0.02/S|V                   -0.00188  0.00286   -0.66     2.84     1.44 +0.922    6%  0.88
sur0.02/S|AF                  +0.00115  0.00179   +0.64     1.79     1.40 +0.966    6%  0.69
sur0.02/S|minRFG              -0.00059  0.00100   -0.59     1.00     1.28 +0.962    6%  0.03
sur0.02/S|minVG               -0.00273  0.00235   -1.16     2.25     2.53 +0.920    6%  0.82
sur0.02/S|minAFG              -0.00039  0.00109   -0.36     1.08     0.77 +0.934    6%  0.17
exact/S|act:jaccard:1|sd      -0.08591  0.08253   -1.04     0.97     2.27 +0.565    5%  0.08
exact/S|minAG|sd              -0.10426  0.07989   -1.31     0.97     2.85 +0.568    5%  0.02
exact/S|V|sd                  -0.06230  0.10171   -0.61     1.24     1.34 +0.517    5%  0.40
exact/S|minRFG|sd             -0.10126  0.07927   -1.28     0.89     2.79 +0.572    5%  0.01
exact/S|minVG|sd              -0.11834  0.08851   -1.34     1.12     2.92 +0.520    5%  0.20
jac0.5/G|act:jaccard:1|sd     -0.09998  0.07896   -1.27     0.99     2.76 +0.604    0%  0.00
jac0.5/G|minAG|sd             -0.09998  0.07896   -1.27     0.94     2.76 +0.604    0%  0.00
jac0.5/G|V|sd                 -0.09998  0.07896   -1.27     0.91     2.76 +0.604    0%  0.00
jac0.5/G|minRFG|sd            -0.09998  0.07896   -1.27     0.89     2.76 +0.604    0%  0.00
jac0.5/G|minVG|sd             -0.09998  0.07896   -1.27     0.91     2.76 +0.604    0%  0.00
sur0.02/S|act:jaccard:1|sd    -0.11233  0.07858   -1.43     0.95     3.12 +0.579    6%  0.01
sur0.02/S|minAG|sd            -0.11265  0.07973   -1.41     0.97     3.08 +0.582    6%  0.04
sur0.02/S|V|sd                -0.12725  0.09065   -1.40     1.09     3.06 +0.555    6%  0.26
sur0.02/S|minRFG|sd           -0.09752  0.07908   -1.23     0.99     2.69 +0.573    6%  0.02
sur0.02/S|minVG|sd            -0.14198  0.08759   -1.62     1.13     3.53 +0.555    6%  0.20
wB_soft0.1/G                  -0.00044  0.00099   -0.45     0.92     0.98 +0.998    0%  0.00  collapse 2%
wB_soft0.3/G                  -0.00045  0.00099   -0.46     0.96     1.00 +0.998    0%  0.00  collapse 0%
wB_hard0.5/G                  -0.00045  0.00099   -0.46     1.00     1.00 +0.998    0%  0.00  collapse 0%
wB_soft0.1/S                  -0.00048  0.00099   -0.48     0.96     1.05 +0.998    0%  0.00  collapse 0%
wB_soft0.3/S                  -0.00046  0.00099   -0.47     0.89     1.02 +0.998    0%  0.00  collapse 0%
wB_hard0.5/S                  -0.00045  0.00099   -0.46     0.92     1.00 +0.998    0%  0.00  collapse 0%

-- tool_call --
rule                            margin       SE       z bSE/live |z|/|z0|    rho  dis%  varD
live_c2                       -0.14839  0.02205   -6.73     1.05     1.03 +0.850    0%  0.00
live_c4                       -0.13739  0.02107   -6.52     1.01     1.00 +1.000    0%  0.00
live_sd                       -4.06522  0.60748   -6.69     0.91     1.03 +0.804    0%  0.00
exact/G|act:jaccard:0.5       -0.01577  0.00731   -2.16     0.33     0.33 +0.026   84%  0.07
exact/G|act:jaccard:1         -0.01658  0.00796   -2.08     0.38     0.32 +0.010   84%  0.22
exact/G|act:jaccard:2         -0.01819  0.01017   -1.79     0.48     0.27 -0.001   84%  0.52
exact/G|act:exact:1           -0.01744  0.00776   -2.25     0.37     0.35 +0.217   84%  0.18
exact/G|minAG                 -0.14275  0.02117   -6.74     1.08     1.03 +0.593   84%  0.89
exact/G|RF                    -0.01468  0.00709   -2.07     0.32     0.32 +0.302   84%  0.01
exact/G|V                     -0.00609  0.00727   -0.84     0.34     0.13 +0.218   84%  0.05
exact/G|AF                    -0.01342  0.00714   -1.88     0.36     0.29 +0.164   84%  0.03
exact/G|minRFG                -0.13715  0.02107   -6.51     1.02     1.00 +0.838   84%  0.89
exact/G|minVG                 -0.13136  0.02114   -6.21     1.03     0.95 +0.743   84%  0.89
exact/G|minAFG                -0.13618  0.02107   -6.46     0.98     0.99 +0.779   84%  0.89
exact/S|act:jaccard:0.5       -0.01013  0.00605   -1.68     0.28     0.26 -0.014   84%  0.05
exact/S|act:jaccard:1         -0.01022  0.00647   -1.58     0.29     0.24 -0.025   84%  0.17
exact/S|act:jaccard:2         -0.01041  0.00794   -1.31     0.38     0.20 -0.037   84%  0.45
exact/S|act:exact:1           -0.01032  0.00621   -1.66     0.29     0.26 +0.186   84%  0.10
exact/S|minAG                 -0.14028  0.02095   -6.70     0.93     1.03 +0.617   84%  0.92
exact/S|RF                    -0.00985  0.00592   -1.67     0.28     0.26 +0.259   84%  0.01
exact/S|V                     -0.00140  0.00610   -0.23     0.30     0.04 +0.199   84%  0.06
exact/S|AF                    -0.00873  0.00597   -1.46     0.28     0.22 +0.147   84%  0.03
exact/S|minRFG                -0.13730  0.02106   -6.52     0.98     1.00 +0.834   84%  0.92
exact/S|minVG                 -0.13165  0.02113   -6.23     1.05     0.96 +0.738   84%  0.92
exact/S|minAFG                -0.13649  0.02106   -6.48     1.04     0.99 +0.773   84%  0.92
jac0.5/G|act:jaccard:0.5      -0.10801  0.01915   -5.64     0.92     0.87 +0.749   20%  0.02
jac0.5/G|act:jaccard:1        -0.10619  0.01927   -5.51     0.88     0.85 +0.727   20%  0.04
jac0.5/G|act:jaccard:2        -0.10257  0.01971   -5.20     0.88     0.80 +0.711   20%  0.08
jac0.5/G|act:exact:1          -0.10982  0.01912   -5.74     0.91     0.88 +0.878   20%  0.02
jac0.5/G|minAG                -0.13617  0.02125   -6.41     0.95     0.98 +0.904   20%  0.21
jac0.5/G|RF                   -0.10962  0.01909   -5.74     0.88     0.88 +0.859   20%  0.02
jac0.5/G|V                    -0.10739  0.01914   -5.61     0.92     0.86 +0.790   20%  0.02
jac0.5/G|AF                   -0.10855  0.01911   -5.68     0.87     0.87 +0.783   20%  0.02
jac0.5/G|minRFG               -0.13710  0.02108   -6.50     1.01     1.00 +0.950   20%  0.20
jac0.5/G|minVG                -0.13536  0.02103   -6.44     1.03     0.99 +0.927   20%  0.20
jac0.5/G|minAFG               -0.13649  0.02106   -6.48     0.92     0.99 +0.917   20%  0.20
jac0.5/S|act:jaccard:0.5      -0.11330  0.01949   -5.81     0.95     0.89 +0.772   18%  0.02
jac0.5/S|act:jaccard:1        -0.11230  0.01954   -5.75     0.90     0.88 +0.749   18%  0.03
jac0.5/S|act:jaccard:2        -0.11031  0.01969   -5.60     0.92     0.86 +0.726   18%  0.04
jac0.5/S|act:exact:1          -0.11402  0.01947   -5.86     0.96     0.90 +0.880   18%  0.02
jac0.5/S|minAG                -0.13668  0.02111   -6.47     0.97     0.99 +0.912   18%  0.17
jac0.5/S|RF                   -0.11388  0.01947   -5.85     0.91     0.90 +0.849   18%  0.02
jac0.5/S|V                    -0.11256  0.01951   -5.77     0.95     0.89 +0.826   18%  0.02
jac0.5/S|AF                   -0.11323  0.01949   -5.81     0.86     0.89 +0.826   18%  0.02
jac0.5/S|minRFG               -0.13736  0.02109   -6.51     1.00     1.00 +0.943   18%  0.17
jac0.5/S|minVG                -0.13621  0.02107   -6.46     0.93     0.99 +0.925   18%  0.17
jac0.5/S|minAFG               -0.13668  0.02108   -6.48     0.94     0.99 +0.922   18%  0.17
jac0.3/S|act:jaccard:0.5      -0.13279  0.02065   -6.43     0.92     0.99 +0.963    4%  0.01
jac0.3/S|act:jaccard:1        -0.13254  0.02067   -6.41     0.92     0.98 +0.958    4%  0.01
jac0.3/S|act:jaccard:2        -0.13205  0.02074   -6.37     1.00     0.98 +0.953    4%  0.01
jac0.3/S|act:exact:1          -0.13303  0.02064   -6.44     0.97     0.99 +0.979    4%  0.01
jac0.3/S|minAG                -0.13710  0.02109   -6.50     0.93     1.00 +0.976    4%  0.05
jac0.3/S|RF                   -0.13285  0.02065   -6.43     0.98     0.99 +0.967    4%  0.01
jac0.3/S|V                    -0.13249  0.02066   -6.41     0.97     0.98 +0.942    4%  0.01
jac0.3/S|AF                   -0.13282  0.02065   -6.43     0.96     0.99 +0.973    4%  0.01
jac0.3/S|minRFG               -0.13741  0.02107   -6.52     0.93     1.00 +0.985    4%  0.05
jac0.3/S|minVG                -0.13702  0.02107   -6.50     1.01     1.00 +0.982    4%  0.05
jac0.3/S|minAFG               -0.13733  0.02108   -6.52     0.92     1.00 +0.989    4%  0.05
sur0.02/G|act:jaccard:0.5     -0.10445  0.01869   -5.59     0.86     0.86 +0.696   35%  0.04
sur0.02/G|act:jaccard:1       -0.10373  0.01881   -5.51     0.85     0.85 +0.669   35%  0.05
sur0.02/G|act:jaccard:2       -0.10228  0.01926   -5.31     0.91     0.81 +0.648   35%  0.09
sur0.02/G|act:exact:1         -0.10269  0.01874   -5.48     0.87     0.84 +0.789   35%  0.04
